Airline,Source,Destination,Additional_Info_upd,Duration_mins,Total_Stops_upd,Price
Jet Airways,Kolkata,Banglore,1,505,1,12384
Air India,Kolkata,Banglore,0,1165,2,17049
IndiGo,Delhi,Cochin,0,810,1,7006
Air India,Kolkata,Banglore,0,875,2,12723
Jet Airways,Delhi,Cochin,1,1225,1,10577
Jet Airways,Banglore,New Delhi,0,730,1,16736
Jet Airways,Delhi,Cochin,1,925,1,10262
Multiple carriers,Delhi,Cochin,0,470,1,7155
Multiple carriers,Delhi,Cochin,0,915,1,15147
IndiGo,Banglore,Delhi,0,175,0,4823
Air India,Banglore,New Delhi,0,410,1,8714
Jet Airways,Kolkata,Banglore,0,1450,1,10953
Air India,Kolkata,Banglore,0,1435,1,10203
Jet Airways,Delhi,Cochin,1,1415,1,12373
Jet Airways,Kolkata,Banglore,0,840,1,14151
Jet Airways,Kolkata,Banglore,0,1730,1,12121
Vistara,Delhi,Cochin,0,190,0,5586
Jet Airways,Kolkata,Banglore,1,1655,1,10844
Jet Airways,Kolkata,Banglore,1,450,1,8586
SpiceJet,Delhi,Cochin,0,295,1,5409
Multiple carriers,Delhi,Cochin,0,695,2,7178
Multiple carriers,Delhi,Cochin,1,910,1,5797
Jet Airways,Kolkata,Banglore,0,1435,1,13759
Air India,Kolkata,Banglore,0,1100,2,13873
Jet Airways,Delhi,Cochin,0,1325,1,16079
SpiceJet,Mumbai,Hyderabad,0,90,0,2017
Jet Airways,Kolkata,Banglore,1,1335,1,10844
SpiceJet,Banglore,Delhi,1,175,0,3573
Jet Airways,Kolkata,Banglore,1,1450,1,8066
Jet Airways,Delhi,Cochin,1,1320,1,14053
Jet Airways,Banglore,New Delhi,0,435,1,12284
SpiceJet,Delhi,Cochin,0,315,1,5351
Jet Airways,Kolkata,Banglore,1,1430,1,7064
IndiGo,Delhi,Cochin,0,320,1,10394
Jet Airways,Kolkata,Banglore,1,865,1,9663
Multiple carriers,Delhi,Cochin,0,480,1,13727
Jet Airways,Delhi,Cochin,1,1040,1,10262
IndiGo,Banglore,Delhi,0,175,0,4823
Air Asia,Banglore,New Delhi,0,170,0,7074
Multiple carriers,Delhi,Cochin,0,835,1,17267
Multiple carriers,Delhi,Cochin,0,630,1,14067
IndiGo,Banglore,Delhi,0,170,0,4823
IndiGo,Banglore,Delhi,0,170,0,4823
Air Asia,Banglore,Delhi,0,170,0,4483
Air India,Kolkata,Banglore,0,805,2,14960
Air India,Banglore,Delhi,0,165,0,7171
Air India,Kolkata,Banglore,0,745,1,12173
Air India,Banglore,New Delhi,0,495,1,11392
Air India,Kolkata,Banglore,0,1665,2,16057
Jet Airways,Kolkata,Banglore,0,1075,1,14151
Jet Airways,Banglore,Delhi,1,175,0,4030
IndiGo,Kolkata,Banglore,0,220,1,4226
Air India,Delhi,Cochin,0,915,1,11050
Air India,Banglore,Delhi,0,165,0,6961
Jet Airways,Kolkata,Banglore,0,725,1,14231
Jet Airways,Delhi,Cochin,1,1320,2,10919
Air India,Delhi,Cochin,0,735,2,10913
IndiGo,Chennai,Kolkata,0,140,0,5277
Multiple carriers,Delhi,Cochin,0,640,1,7485
Jet Airways,Kolkata,Banglore,0,1405,1,14231
GoAir,Delhi,Cochin,0,370,1,4201
Air India,Delhi,Cochin,0,180,0,7931
Multiple carriers,Delhi,Cochin,0,455,1,6513
Jet Airways,Delhi,Cochin,0,1680,1,14714
IndiGo,Kolkata,Banglore,0,325,1,6218
Air India,Delhi,Cochin,0,435,2,8603
IndiGo,Delhi,Cochin,0,750,1,7318
Multiple carriers,Delhi,Cochin,0,540,1,13504
Multiple carriers,Delhi,Cochin,0,925,1,9646
IndiGo,Kolkata,Banglore,0,155,0,5224
Jet Airways,Kolkata,Banglore,0,505,1,12692
Jet Airways,Kolkata,Banglore,1,435,1,9689
Air India,Kolkata,Banglore,0,920,2,13033
Jet Airways,Kolkata,Banglore,0,590,1,13626
IndiGo,Mumbai,Hyderabad,0,90,0,2754
Jet Airways,Kolkata,Banglore,0,1005,1,12121
IndiGo,Banglore,Delhi,0,165,0,3419
Air India,Kolkata,Banglore,0,920,2,13033
IndiGo,Kolkata,Banglore,0,155,0,4174
Air Asia,Delhi,Cochin,0,870,1,6152
Air India,Delhi,Cochin,0,170,0,5201
Jet Airways,Banglore,New Delhi,1,550,1,9134
Air India,Kolkata,Banglore,0,1100,2,13243
Jet Airways,Delhi,Cochin,0,1375,2,15129
Jet Airways,Mumbai,Hyderabad,1,90,0,2759
IndiGo,Banglore,Delhi,0,165,0,4423
Vistara,Kolkata,Banglore,0,930,1,9187
Multiple carriers,Delhi,Cochin,0,920,1,7740
Jet Airways,Banglore,Delhi,1,180,0,6144
Multiple carriers,Delhi,Cochin,0,460,1,10877
IndiGo,Delhi,Cochin,0,635,1,6442
IndiGo,Delhi,Cochin,0,645,1,7048
Multiple carriers,Delhi,Cochin,1,615,1,5797
Air India,Banglore,New Delhi,0,1030,2,10573
IndiGo,Delhi,Cochin,0,750,1,7503
IndiGo,Delhi,Cochin,0,480,1,6104
Jet Airways,Kolkata,Banglore,1,665,1,9663
Jet Airways,Banglore,Delhi,1,175,0,5769
Air India,Mumbai,Hyderabad,0,90,0,3100
Jet Airways,Delhi,Cochin,1,655,1,12373
SpiceJet,Kolkata,Banglore,1,150,0,3815
Jet Airways,Delhi,Cochin,0,1460,2,14300
IndiGo,Banglore,Delhi,0,175,0,4823
IndiGo,Mumbai,Hyderabad,0,90,0,2754
Multiple carriers,Delhi,Cochin,0,795,1,9736
Jet Airways,Banglore,New Delhi,1,280,1,7280
Multiple carriers,Delhi,Cochin,0,780,1,7408
Jet Airways,Kolkata,Banglore,0,960,1,13044
Air India,Kolkata,Banglore,0,1045,2,12723
Jet Airways,Kolkata,Banglore,1,730,1,8586
IndiGo,Delhi,Cochin,0,570,1,6316
Jet Airways,Delhi,Cochin,0,600,1,15554
SpiceJet,Mumbai,Hyderabad,1,80,0,2385
Multiple carriers,Delhi,Cochin,0,480,1,13587
IndiGo,Delhi,Cochin,0,355,1,13790
Air India,Delhi,Cochin,0,1420,2,10975
Jet Airways,Kolkata,Banglore,0,1495,1,14388
Multiple carriers,Delhi,Cochin,0,450,1,7198
Jet Airways,Delhi,Cochin,1,1615,2,13029
Multiple carriers,Delhi,Cochin,1,730,1,12717
IndiGo,Delhi,Cochin,0,400,1,14871
Jet Airways,Kolkata,Banglore,1,860,2,10118
Jet Airways,Delhi,Cochin,1,335,1,10262
Jet Airways,Mumbai,Hyderabad,1,90,0,2071
Air India,Banglore,Delhi,0,170,0,5228
Jet Airways,Banglore,New Delhi,1,1110,1,7832
Multiple carriers,Delhi,Cochin,0,560,1,7005
Jet Airways,Delhi,Cochin,0,1090,2,14237
SpiceJet,Banglore,Delhi,0,175,0,3971
IndiGo,Banglore,Delhi,0,170,0,3943
IndiGo,Delhi,Cochin,0,530,1,8574
Air India,Delhi,Cochin,0,800,2,12646
Jet Airways,Delhi,Cochin,0,1790,2,13082
Jet Airways,Kolkata,Banglore,0,1430,1,13941
GoAir,Delhi,Cochin,0,355,1,5135
Air India,Kolkata,Banglore,0,625,1,11096
Jet Airways,Banglore,New Delhi,0,640,1,13555
Vistara,Banglore,Delhi,0,170,0,5403
Jet Airways,Delhi,Cochin,1,440,2,15812
Jet Airways,Kolkata,Banglore,0,735,1,14781
Air India,Delhi,Cochin,0,570,1,8907
Air India,Kolkata,Banglore,0,155,0,4145
Jet Airways,Kolkata,Banglore,0,800,1,14151
Multiple carriers,Delhi,Cochin,0,570,1,7845
Multiple carriers,Delhi,Cochin,0,600,1,8099
Multiple carriers,Delhi,Cochin,0,630,1,13377
Air India,Banglore,New Delhi,0,1710,2,12734
Jet Airways,Delhi,Cochin,1,335,1,10262
Jet Airways,Banglore,Delhi,0,185,0,7229
Vistara,Mumbai,Hyderabad,0,1480,1,12395
Jet Airways,Kolkata,Banglore,1,810,1,11134
Jet Airways,Delhi,Cochin,1,350,1,6540
Multiple carriers,Delhi,Cochin,0,755,1,7354
Air India,Delhi,Cochin,0,1180,2,9548
Vistara,Kolkata,Banglore,0,1655,1,9187
IndiGo,Delhi,Cochin,0,275,1,5054
Air India,Kolkata,Banglore,0,625,1,10413
IndiGo,Kolkata,Banglore,0,160,0,4804
IndiGo,Mumbai,Hyderabad,0,90,0,4049
Multiple carriers,Delhi,Cochin,0,390,1,6795
Air India,Kolkata,Banglore,0,155,0,4435
Jet Airways,Kolkata,Banglore,1,730,1,6224
IndiGo,Kolkata,Banglore,0,155,0,4804
IndiGo,Delhi,Cochin,0,665,1,6171
IndiGo,Delhi,Cochin,0,575,1,6093
IndiGo,Kolkata,Banglore,0,155,0,4174
IndiGo,Mumbai,Hyderabad,0,90,0,3342
Multiple carriers,Delhi,Cochin,0,660,1,13587
Jet Airways,Delhi,Cochin,0,395,1,16079
IndiGo,Delhi,Cochin,0,195,0,6015
Jet Airways,Kolkata,Banglore,0,1570,1,13067
Multiple carriers,Delhi,Cochin,0,460,1,9103
Jet Airways,Kolkata,Banglore,0,1630,1,14151
Jet Airways,Delhi,Cochin,0,750,2,11538
IndiGo,Delhi,Cochin,0,765,2,8146
Air India,Kolkata,Banglore,0,580,1,6117
Jet Airways,Delhi,Cochin,0,1570,1,17024
Jet Airways,Banglore,New Delhi,1,1055,1,22270
Jet Airways,Kolkata,Banglore,0,1480,1,12692
Vistara,Kolkata,Banglore,0,790,1,8610
Multiple carriers,Delhi,Cochin,0,920,1,6723
Vistara,Banglore,Delhi,0,155,0,4878
Jet Airways,Banglore,New Delhi,0,665,1,16736
Jet Airways,Kolkata,Banglore,1,1160,1,11134
IndiGo,Banglore,Delhi,0,170,0,3943
Multiple carriers,Delhi,Cochin,0,720,1,13587
Jet Airways,Delhi,Cochin,0,1380,2,16914
SpiceJet,Mumbai,Hyderabad,1,90,0,1965
Multiple carriers,Delhi,Cochin,0,480,1,8073
IndiGo,Banglore,Delhi,0,170,0,3943
IndiGo,Kolkata,Banglore,0,290,1,5170
GoAir,Banglore,Delhi,0,170,0,3398
Air Asia,Kolkata,Banglore,0,155,0,4409
Jet Airways,Banglore,Delhi,0,180,0,8541
IndiGo,Banglore,New Delhi,0,170,0,4777
SpiceJet,Kolkata,Banglore,0,140,0,3847
Jet Airways,Kolkata,Banglore,1,1025,1,7064
Vistara,Banglore,Delhi,0,170,0,4668
SpiceJet,Mumbai,Hyderabad,1,85,0,1965
Jet Airways,Kolkata,Banglore,0,590,1,14781
IndiGo,Mumbai,Hyderabad,0,90,0,4049
Jet Airways,Kolkata,Banglore,0,800,1,13584
Jet Airways,Delhi,Cochin,1,940,1,12373
Jet Airways,Delhi,Cochin,0,1620,1,16079
Jet Airways,Banglore,Delhi,0,180,0,7229
Jet Airways,Banglore,New Delhi,0,1435,1,17471
Jet Airways,Kolkata,Banglore,0,590,1,14781
Jet Airways,Kolkata,Banglore,0,800,1,14571
Multiple carriers,Delhi,Cochin,0,525,1,10197
SpiceJet,Delhi,Cochin,0,295,1,5975
Multiple carriers,Delhi,Cochin,0,465,1,8535
Multiple carriers,Delhi,Cochin,0,665,1,12537
Air India,Kolkata,Banglore,0,155,0,4145
IndiGo,Mumbai,Hyderabad,0,90,0,4049
Air Asia,Kolkata,Banglore,0,720,1,5192
Air India,Banglore,Delhi,0,170,0,6121
Air India,Delhi,Cochin,0,925,1,8669
Multiple carriers,Delhi,Cochin,0,795,1,8476
SpiceJet,Mumbai,Hyderabad,1,90,0,2647
Jet Airways,Delhi,Cochin,0,1325,1,14714
Air India,Delhi,Cochin,0,705,1,10566
Jet Airways,Delhi,Cochin,1,450,1,10262
Multiple carriers,Delhi,Cochin,0,935,1,8098
Multiple carriers,Delhi,Cochin,0,660,1,6883
Multiple carriers,Delhi,Cochin,0,555,1,16108
SpiceJet,Kolkata,Banglore,1,150,0,4413
Jet Airways,Delhi,Cochin,1,1320,2,10919
IndiGo,Kolkata,Banglore,0,160,0,4804
Jet Airways,Kolkata,Banglore,1,870,1,10539
IndiGo,Banglore,New Delhi,0,170,0,4377
Air India,Banglore,Delhi,0,165,0,6961
Multiple carriers,Delhi,Cochin,0,480,1,7408
IndiGo,Banglore,Delhi,0,175,0,4823
IndiGo,Kolkata,Banglore,0,155,0,5198
Jet Airways,Delhi,Cochin,1,1530,1,10262
Vistara,Banglore,Delhi,0,155,0,5613
Jet Airways,Delhi,Cochin,1,450,1,10262
IndiGo,Mumbai,Hyderabad,0,90,0,5755
Vistara,Chennai,Kolkata,0,135,0,3687
Jet Airways,Mumbai,Hyderabad,0,90,0,5678
Multiple carriers,Delhi,Cochin,0,440,1,13542
Jet Airways,Delhi,Cochin,0,1415,1,12347
Jet Airways,Kolkata,Banglore,1,575,1,12384
Jet Airways,Delhi,Cochin,0,1375,2,10909
IndiGo,Banglore,Delhi,0,180,0,4823
IndiGo,Delhi,Cochin,0,300,1,6069
Jet Airways,Delhi,Cochin,1,1620,1,12898
IndiGo,Kolkata,Banglore,0,155,0,4804
Jet Airways,Kolkata,Banglore,1,1220,1,10031
IndiGo,Delhi,Cochin,0,895,1,6442
Air India,Delhi,Cochin,0,1180,2,9653
Vistara,Kolkata,Banglore,0,1640,1,8610
Jet Airways,Delhi,Cochin,0,300,1,14714
Air India,Banglore,New Delhi,1,1405,1,12599
Multiple carriers,Delhi,Cochin,0,845,1,9103
Jet Airways,Delhi,Cochin,1,335,1,12898
SpiceJet,Mumbai,Hyderabad,1,90,0,2647
Jet Airways,Mumbai,Hyderabad,0,85,0,5678
Jet Airways,Delhi,Cochin,1,1040,1,12373
SpiceJet,Kolkata,Banglore,0,150,0,3847
Jet Airways,Kolkata,Banglore,0,1500,1,14151
Jet Airways,Delhi,Cochin,1,1225,1,13843
Jet Airways,Banglore,Delhi,0,175,0,7229
Jet Airways,Mumbai,Hyderabad,1,85,0,4995
Jet Airways,Delhi,Cochin,1,450,1,10262
Jet Airways,Delhi,Cochin,1,1375,2,13029
Jet Airways,Delhi,Cochin,1,550,1,14053
Jet Airways,Banglore,New Delhi,1,885,1,26890
SpiceJet,Kolkata,Banglore,1,150,0,3841
Air India,Banglore,New Delhi,0,745,1,11003
Vistara,Banglore,Delhi,0,170,0,5403
Multiple carriers,Delhi,Cochin,0,650,1,15342
Air India,Kolkata,Banglore,0,1035,2,12224
IndiGo,Chennai,Kolkata,0,140,0,6297
SpiceJet,Kolkata,Banglore,0,330,1,8844
Multiple carriers,Delhi,Cochin,0,690,1,13377
GoAir,Banglore,New Delhi,0,175,0,5706
Air India,Delhi,Cochin,0,640,1,8372
IndiGo,Delhi,Cochin,0,860,1,6526
IndiGo,Banglore,Delhi,0,170,0,4823
IndiGo,Mumbai,Hyderabad,0,90,0,3175
Multiple carriers,Delhi,Cochin,0,600,1,10407
IndiGo,Banglore,Delhi,0,170,0,4423
Vistara,Kolkata,Banglore,0,1640,1,9555
Jet Airways,Kolkata,Banglore,0,1430,1,12681
Jet Airways,Kolkata,Banglore,0,875,1,13059
Jet Airways,Kolkata,Banglore,1,1055,1,8586
GoAir,Banglore,Delhi,0,165,0,3419
SpiceJet,Kolkata,Banglore,0,150,0,3873
Air India,Kolkata,Banglore,0,625,1,10203
Jet Airways,Delhi,Cochin,1,535,2,13029
Jet Airways,Kolkata,Banglore,1,365,1,10844
Jet Airways,Kolkata,Banglore,1,795,1,11134
Vistara,Kolkata,Banglore,0,1350,1,8610
IndiGo,Kolkata,Banglore,0,155,0,4174
Jet Airways,Banglore,New Delhi,1,1530,1,11087
SpiceJet,Banglore,Delhi,0,175,0,3971
Jet Airways,Delhi,Cochin,0,715,1,17531
SpiceJet,Banglore,Delhi,1,160,0,3573
Air India,Kolkata,Banglore,0,1350,1,8366
Air India,Kolkata,Banglore,0,150,0,13885
Multiple carriers,Delhi,Cochin,0,460,2,18485
Air Asia,Kolkata,Banglore,0,150,0,4409
Vistara,Kolkata,Banglore,0,1625,1,8085
Multiple carriers,Delhi,Cochin,0,480,1,13377
Air India,Delhi,Cochin,0,1100,2,13538
Multiple carriers,Delhi,Cochin,0,395,1,15147
Jet Airways,Banglore,Delhi,1,175,0,4030
Multiple carriers,Delhi,Cochin,0,675,1,14848
Jet Airways,Banglore,New Delhi,0,565,1,13555
Air India,Delhi,Cochin,0,1580,2,10975
Jet Airways,Delhi,Cochin,1,1615,2,13029
Jet Airways,Kolkata,Banglore,1,1495,1,9663
Jet Airways,Mumbai,Hyderabad,1,90,0,4050
Jet Airways,Delhi,Cochin,0,655,1,14714
Air India,Banglore,New Delhi,0,655,2,11213
Jet Airways,Banglore,Delhi,1,165,0,4544
SpiceJet,Kolkata,Banglore,0,145,0,3873
Multiple carriers,Delhi,Cochin,0,480,1,12537
Jet Airways,Kolkata,Banglore,0,575,1,13067
Jet Airways,Delhi,Cochin,0,1760,2,16704
Air India,Banglore,New Delhi,0,330,1,8714
Jet Airways,Delhi,Cochin,0,1320,2,13376
SpiceJet,Chennai,Kolkata,0,135,0,3597
Multiple carriers,Delhi,Cochin,0,760,1,7670
Air India,Kolkata,Banglore,0,2245,2,14410
Air India,Delhi,Cochin,0,1420,1,7480
Jet Airways,Kolkata,Banglore,0,1335,1,13584
Jet Airways,Banglore,New Delhi,1,1050,1,25735
Jet Airways,Banglore,Delhi,1,180,0,4544
Multiple carriers,Delhi,Cochin,0,600,1,8099
Jet Airways,Kolkata,Banglore,1,730,1,10844
Jet Airways,Delhi,Cochin,0,550,1,12557
Jet Airways,Delhi,Cochin,0,195,0,9564
Jet Airways,Banglore,New Delhi,0,725,1,13817
Jet Airways,Kolkata,Banglore,1,575,1,12384
Multiple carriers,Delhi,Cochin,0,860,1,7575
Air India,Kolkata,Banglore,0,1155,2,14120
Multiple carriers,Delhi,Cochin,0,915,1,6916
Multiple carriers,Delhi,Cochin,0,920,1,7878
Jet Airways,Banglore,New Delhi,1,1290,1,11087
IndiGo,Kolkata,Banglore,0,150,0,4804
SpiceJet,Chennai,Kolkata,0,135,0,3597
Air India,Kolkata,Banglore,0,2065,2,12723
IndiGo,Mumbai,Hyderabad,0,95,0,2227
Air India,Delhi,Cochin,0,735,1,9929
Jet Airways,Kolkata,Banglore,1,730,1,11841
Jet Airways,Delhi,Cochin,1,1015,1,12373
Jet Airways,Delhi,Cochin,1,1325,1,12898
Air India,Delhi,Cochin,0,1545,2,15113
Multiple carriers,Delhi,Cochin,0,440,1,10529
Air India,Delhi,Cochin,0,1115,2,8875
Jet Airways,Kolkata,Banglore,1,740,1,10844
Air India,Banglore,New Delhi,0,165,0,15676
Jet Airways,Kolkata,Banglore,1,910,1,7064
Jet Airways,Kolkata,Banglore,1,685,1,10844
Jet Airways,Mumbai,Hyderabad,0,1610,1,19595
Jet Airways,Kolkata,Banglore,0,1090,1,13941
IndiGo,Delhi,Cochin,0,455,1,6790
SpiceJet,Kolkata,Banglore,1,145,0,3841
Jet Airways,Banglore,New Delhi,1,1280,1,11087
Air India,Delhi,Cochin,0,1410,2,11491
IndiGo,Banglore,Delhi,0,170,0,3943
Jet Airways,Banglore,New Delhi,0,1200,1,22270
Vistara,Banglore,Delhi,0,155,0,4878
Jet Airways,Delhi,Cochin,0,335,1,14714
Multiple carriers,Delhi,Cochin,0,740,1,10877
Air India,Delhi,Cochin,0,1410,2,9653
Jet Airways,Kolkata,Banglore,0,960,1,14571
Jet Airways,Kolkata,Banglore,1,1550,1,7064
IndiGo,Kolkata,Banglore,0,155,0,5618
Multiple carriers,Delhi,Cochin,0,690,1,13727
Vistara,Delhi,Cochin,0,190,0,4851
Air India,Kolkata,Banglore,0,760,2,15187
GoAir,Banglore,Delhi,0,175,0,3419
IndiGo,Banglore,Delhi,0,165,0,3943
Jet Airways,Delhi,Cochin,0,1615,2,15129
IndiGo,Banglore,Delhi,0,170,0,3419
Air India,Delhi,Cochin,0,1395,2,10861
IndiGo,Delhi,Cochin,0,295,1,7074
Air India,Kolkata,Banglore,0,1780,2,11542
IndiGo,Delhi,Cochin,0,320,1,6968
Jet Airways,Banglore,Delhi,1,180,0,5769
Vistara,Kolkata,Banglore,0,1580,1,7927
Jet Airways,Kolkata,Banglore,0,800,1,13044
Jet Airways,Delhi,Cochin,0,810,2,15129
SpiceJet,Kolkata,Banglore,1,145,0,3841
IndiGo,Kolkata,Banglore,0,155,0,4804
SpiceJet,Banglore,Delhi,1,160,0,4319
Jet Airways,Delhi,Cochin,0,1270,1,16079
Jet Airways,Banglore,New Delhi,0,375,1,54826
IndiGo,Delhi,Cochin,0,485,1,12351
Jet Airways,Kolkata,Banglore,0,1570,1,13067
Jet Airways,Banglore,New Delhi,0,765,1,13817
SpiceJet,Banglore,Delhi,0,175,0,3625
Air India,Mumbai,Hyderabad,0,1775,3,18293
Vistara,Banglore,Delhi,0,165,0,5613
Air India,Delhi,Cochin,0,1565,1,11038
IndiGo,Banglore,Delhi,0,165,0,4077
Multiple carriers,Delhi,Cochin,0,780,1,6883
Air India,Banglore,New Delhi,0,165,0,19508
Air India,Banglore,New Delhi,0,865,1,8714
IndiGo,Kolkata,Banglore,0,155,0,4804
Multiple carriers,Delhi,Cochin,0,450,1,15078
SpiceJet,Kolkata,Banglore,1,150,0,4807
Multiple carriers,Delhi,Cochin,0,565,3,21829
Vistara,Banglore,New Delhi,0,160,0,5403
Jet Airways,Banglore,New Delhi,0,550,1,26890
GoAir,Kolkata,Banglore,0,495,1,7335
Jet Airways,Delhi,Cochin,1,650,2,9412
Jet Airways,Kolkata,Banglore,1,685,1,10844
IndiGo,Banglore,Delhi,0,175,0,4990
Jet Airways,Delhi,Cochin,0,1760,2,16704
Air India,Delhi,Cochin,0,2240,2,7711
Jet Airways,Delhi,Cochin,1,655,1,10262
Multiple carriers,Delhi,Cochin,1,490,1,6007
Air India,Kolkata,Banglore,0,1200,2,12219
GoAir,Banglore,Delhi,0,165,0,3898
Jet Airways,Kolkata,Banglore,0,1745,1,11467
Air India,Kolkata,Banglore,0,725,2,12534
Jet Airways,Kolkata,Banglore,1,590,1,10844
SpiceJet,Banglore,New Delhi,0,170,0,4377
Vistara,Chennai,Kolkata,0,140,0,11982
SpiceJet,Banglore,Delhi,0,170,0,4423
Jet Airways,Delhi,Cochin,0,550,1,17234
Vistara,Kolkata,Banglore,0,945,1,8295
Jet Airways,Delhi,Cochin,1,2295,2,15864
GoAir,Banglore,Delhi,0,170,0,3398
Multiple carriers,Delhi,Cochin,0,750,1,7198
Jet Airways,Banglore,Delhi,0,165,0,7229
Jet Airways,Delhi,Cochin,0,1375,2,13014
Air India,Kolkata,Banglore,0,1440,1,6528
Jet Airways,Delhi,Cochin,0,1620,2,13292
Jet Airways,Delhi,Cochin,0,1430,2,15129
Air India,Delhi,Cochin,0,1395,2,11071
SpiceJet,Kolkata,Banglore,0,155,0,4174
Multiple carriers,Delhi,Cochin,0,890,1,11299
Jet Airways,Delhi,Cochin,1,1010,1,12373
Air India,Banglore,New Delhi,0,1645,1,13439
IndiGo,Kolkata,Banglore,0,155,0,4804
Air India,Kolkata,Banglore,0,1210,2,11642
IndiGo,Banglore,Delhi,0,170,0,3419
IndiGo,Kolkata,Banglore,0,335,2,6103
Air India,Kolkata,Banglore,0,1100,2,13033
Jet Airways,Banglore,New Delhi,1,420,2,11245
Jet Airways,Kolkata,Banglore,1,330,1,10056
Jet Airways,Kolkata,Banglore,1,1080,1,10539
IndiGo,Chennai,Kolkata,0,140,0,5277
Air India,Kolkata,Banglore,0,795,1,11936
Jet Airways,Delhi,Cochin,0,1375,2,13014
Vistara,Kolkata,Banglore,0,1640,1,8820
Jet Airways,Delhi,Cochin,1,1295,1,12373
Jet Airways,Delhi,Cochin,1,1655,1,10262
Jet Airways,Mumbai,Hyderabad,1,85,0,4995
Jet Airways,Delhi,Cochin,1,1315,1,7438
IndiGo,Kolkata,Banglore,0,170,0,4148
IndiGo,Chennai,Kolkata,0,140,0,3597
Air Asia,Kolkata,Banglore,0,955,1,5192
Jet Airways,Banglore,New Delhi,0,740,1,16736
Multiple carriers,Delhi,Cochin,0,480,1,7933
Air India,Delhi,Cochin,0,675,1,8879
IndiGo,Delhi,Cochin,0,195,0,5000
Vistara,Kolkata,Banglore,0,965,1,8137
Air India,Delhi,Cochin,0,1580,2,22096
SpiceJet,Banglore,New Delhi,1,170,0,4273
Jet Airways,Banglore,New Delhi,0,365,1,35185
IndiGo,Kolkata,Banglore,0,220,1,4226
Jet Airways,Kolkata,Banglore,1,475,1,10844
IndiGo,Mumbai,Hyderabad,0,90,0,2754
IndiGo,Kolkata,Banglore,0,335,1,6301
Air India,Kolkata,Banglore,0,1700,2,13222
Jet Airways,Delhi,Cochin,1,1145,1,12898
Air India,Banglore,New Delhi,0,830,1,12127
Jet Airways,Kolkata,Banglore,0,1540,1,13067
Air India,Kolkata,Banglore,0,1660,2,9920
GoAir,Banglore,Delhi,0,175,0,4239
Jet Airways,Delhi,Cochin,0,1270,1,14714
IndiGo,Kolkata,Banglore,0,325,1,6218
IndiGo,Chennai,Kolkata,0,140,0,7295
Multiple carriers,Delhi,Cochin,0,460,1,7408
Jet Airways,Kolkata,Banglore,1,505,1,13994
IndiGo,Kolkata,Banglore,0,150,0,5224
SpiceJet,Mumbai,Hyderabad,0,80,0,4391
Air India,Kolkata,Banglore,0,1165,2,14109
SpiceJet,Banglore,Delhi,1,170,0,4885
Jet Airways,Banglore,Delhi,0,180,0,8016
Multiple carriers,Delhi,Cochin,0,395,1,12524
Jet Airways,Delhi,Cochin,1,995,1,6017
Air India,Delhi,Cochin,0,1275,2,10441
SpiceJet,Banglore,Delhi,0,175,0,3625
Air India,Delhi,Cochin,0,2280,3,15586
Air India,Delhi,Cochin,0,675,1,7199
Jet Airways,Delhi,Cochin,0,1325,2,12273
Multiple carriers,Delhi,Cochin,0,390,1,7530
Jet Airways,Mumbai,Hyderabad,0,90,0,5678
Air India,Delhi,Cochin,0,1245,2,11753
SpiceJet,Mumbai,Hyderabad,1,90,0,1965
IndiGo,Delhi,Cochin,0,400,1,10208
IndiGo,Delhi,Cochin,0,305,1,5054
IndiGo,Delhi,Cochin,0,425,1,14871
Jet Airways,Delhi,Cochin,1,715,1,12373
SpiceJet,Mumbai,Hyderabad,0,90,0,2017
Jet Airways,Kolkata,Banglore,1,890,1,10661
Multiple carriers,Delhi,Cochin,0,520,1,9794
Jet Airways,Kolkata,Banglore,0,1630,1,13067
SpiceJet,Chennai,Kolkata,0,140,0,7298
IndiGo,Banglore,New Delhi,0,175,0,7648
Air India,Kolkata,Banglore,0,590,2,10676
Air India,Banglore,Delhi,0,165,0,6961
IndiGo,Delhi,Cochin,0,845,1,6979
Multiple carriers,Delhi,Cochin,0,720,1,13587
Jet Airways,Kolkata,Banglore,1,570,1,10844
IndiGo,Banglore,Delhi,0,170,0,3943
IndiGo,Delhi,Cochin,0,705,1,6838
Jet Airways,Delhi,Cochin,1,360,1,6542
Jet Airways,Delhi,Cochin,1,715,1,12239
Jet Airways,Kolkata,Banglore,0,730,1,14388
IndiGo,Kolkata,Banglore,0,170,0,4148
Multiple carriers,Delhi,Cochin,0,625,2,16840
Multiple carriers,Delhi,Cochin,0,765,1,9646
Jet Airways,Kolkata,Banglore,0,1265,1,14571
IndiGo,Delhi,Cochin,0,570,1,7923
Jet Airways,Kolkata,Banglore,1,520,1,8586
Multiple carriers,Delhi,Cochin,0,555,1,9646
Jet Airways,Kolkata,Banglore,0,1315,1,14388
Jet Airways,Kolkata,Banglore,0,1430,1,13044
Multiple carriers,Delhi,Cochin,0,540,1,10197
Jet Airways,Delhi,Cochin,0,1395,1,14714
Air India,Delhi,Cochin,0,555,1,9929
Jet Airways,Delhi,Cochin,1,335,1,6017
SpiceJet,Chennai,Kolkata,0,135,0,3597
Air India,Delhi,Cochin,0,570,1,5704
Jet Airways,Delhi,Cochin,0,520,1,14714
